delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
15.26351085,11.99450167,20.79308123,34.26531968,9.184291598,40.06722761,39.06871325,96.23818129,60.05501294,3.211311198,48.10110169,63.55498869,276.6955845,93.58524471,7.271761534,110.9795003,41.92248156,193.4154855,66.54680948,3.346517617,9.054710325,12.6872708,20.40597642,14.24223118,3.848508471,16.29238536,20.35561346,82.05200112,16.52580603,3.238826471,35.80774247,85.73914241,487.3123369,53.89942783,3.978337279,32.43040778,172.7859702,734.8813217,36.83990947,4.725569825,33.93755964,128.4114659,408.3819431,43.42503861,7.528096879,29.44877296,113.161068,135.7049601,53.06949806,8.454223677,34.12671328,70.15157543,138.9465764,104.6228423,7.998157323,46.83171872,73.8604717,173.3114508,114.944676,10.785819,30.02880094,98.99556769,50.34020757,87.51370348,10.35190358,43.80524332,91.8274118,72.32251592,112.2148807,9.411883445,3
11.51047022,16.33712074,38.26426649,28.14280549,4.715419848,51.3510723,50.75995336,73.9359899,73.04637101,4.516354144,458.237332,70.25789398,168.7010542,109.4197639,4.137136232,27.28644988,51.5969132,74.25809422,75.96649214,2.663767607,12.17552432,10.34210566,23.03961304,14.54900248,4.131553801,7.221128351,7.52642161,47.54463234,8.905982,2.347781211,13.54377605,55.61212687,351.6648813,32.05015567,3.988076956,18.82022351,122.1008394,458.0864809,115.42671,2.850132851,24.96043202,105.1761525,254.6505083,141.7716531,4.781100029,52.8955456,126.4704546,191.7428972,125.236056,1.299463785,27.62509115,127.9164928,249.2563674,102.4393912,3.439177775,28.16799907,100.1423179,266.2800211,97.05898573,4.558368269,28.89446267,96.99095309,236.3587914,99.48647432,4.136025482,22.34632157,86.84196971,223.9693773,80.21194286,3.293063053,3
20.10965475,79.22550353,61.75566663,25.9781889,7.352097684,82.78186327,147.3961231,165.2282438,30.22009457,4.875997959,376.2942819,278.1065332,127.0548947,83.48722618,7.22898986,276.621752,177.9507905,116.1338613,31.49682654,3.506649104,26.37053438,44.478386,45.46914967,21.23987095,3.132190427,23.18428754,13.24269538,150.9192107,18.46616782,2.95921775,41.30914045,45.2506224,1050.60309,86.50748698,5.448071651,87.57643591,117.001864,955.7263961,98.00536678,9.477533214,27.98419645,78.77108274,251.5242303,64.3862122,10.16879349,45.81819736,112.6756028,90.52066243,61.26179623,10.51792033,23.19277769,286.9885827,169.6501725,89.15150956,18.10335443,51.03252145,449.111691,178.0837781,126.21786,7.69127767,27.78655838,274.9307381,177.4467086,74.66206519,8.731876526,31.49905009,411.4199645,175.1484108,120.0241472,7.047680022,3
64.59616786,147.8522851,66.43637582,17.72643032,5.045408986,19.03076198,32.69128156,51.63580381,47.44236877,4.903170631,410.4915737,41.86577584,32.60258484,73.0453877,4.62090457,118.7245444,23.93856966,33.93477428,43.33100182,8.269342367,10.45338353,16.03520947,39.81961695,14.71273006,1.925148356,5.950525056,13.86854065,78.91114008,11.13494857,3.566370889,14.70411699,10.58787517,238.0344925,54.91875359,8.656195265,68.22852502,166.4078051,266.2704641,34.66247815,7.224208311,32.48072083,208.7276539,370.9406946,45.94143721,7.831517063,86.18784455,299.0093238,352.486078,65.92384929,6.136401035,79.41610392,236.5877078,328.4114345,83.66188932,14.25319487,50.6765996,111.0486697,168.6288802,68.01138595,5.097898787,71.82646802,200.4159011,326.719963,62.49657212,7.728557999,42.06076238,132.0527447,155.6667246,47.88601252,6.370050634,3
154.2637479,11.02786747,25.95440253,10.37149589,7.767921788,35.69389344,22.33130664,66.34499753,11.29722967,9.457074711,59.98228432,50.67235711,104.1515494,27.73287666,15.88653249,78.74448748,28.96318356,84.17531703,18.48960127,13.805044,11.83131199,8.005909727,22.91306672,13.24319797,11.30387135,30.53522893,6.562870544,20.41278363,8.87790898,4.893055811,37.18948534,15.87311991,216.3893809,26.97616224,5.969301619,67.923956,74.6048471,263.5613314,35.79027698,6.313936721,44.1518028,62.13833687,116.2689957,39.15454395,8.757606607,104.9119982,62.07239622,54.55616515,37.51554679,5.584332131,67.95154395,51.40217954,89.77784134,32.93143502,14.40218188,27.76387416,44.55958125,101.198922,40.78494898,10.24103069,15.47364054,51.25988715,83.51301968,44.9512225,8.986415229,24.04186827,34.26005824,97.63639736,41.35855504,10.12146842,3
43.77360499,5.788684881,11.90882403,7.650314285,6.583201393,87.70339423,16.53332936,32.68056938,16.97415355,8.068790978,207.562431,15.25391512,26.9665517,22.54318781,4.161247702,24.30545357,14.11261524,22.47232287,13.46129543,4.552156919,34.35713676,12.06465706,11.66101116,18.30918266,6.249446069,30.71169345,7.631278161,20.54374483,12.93796551,3.937391812,40.74654487,28.4236603,188.1648037,39.40078515,11.62222157,819.471204,72.50526869,262.8969354,61.391595,6.628222968,127.4611231,35.6869513,120.7473629,40.70292543,6.675312479,14874.66919,267.3742321,51.77813372,23.6763901,8.749366361,36.76451408,19.00253136,10.8702501,21.77127109,6.455230506,31.34065276,24.86575537,27.69350444,26.41889827,5.411370445,56.23108771,22.98482429,10.28730227,20.04084898,9.401662785,29.97975542,38.57193782,29.33188588,26.27154417,4.749298553,3
23.46603595,5.758984508,14.49636409,13.30545867,6.793696313,77.86613725,10.10123844,33.30399582,27.53941518,8.308555296,165.695478,20.6768075,79.8145576,48.01921183,6.135041693,127.33153,8.977567536,50.83810528,35.56732021,1.841449245,18.28383166,2.751119841,7.178015742,8.239137328,3.913183938,16.44423804,4.621342537,21.23811393,10.37098641,4.278620453,24.95224676,12.95499926,153.2368851,19.21672005,4.545378017,917.3772793,34.04440292,458.8361736,47.03292924,6.776105797,220.5918423,16.65877743,199.7610307,37.05803302,4.457693003,13258.46913,308.2875205,198.7797876,91.4766785,10.66698625,71.43362716,19.21793884,82.33138338,51.08289278,7.972878619,91.69250276,16.80657966,78.14547937,57.43921438,7.64525438,96.47994908,10.32728415,81.10858363,48.7010548,6.233180005,51.87565357,16.60066456,51.14807797,45.8826582,3.233172071,3
41.73484571,8.356227459,33.12570838,20.2262214,6.963150575,100.0352416,26.72417609,89.36547205,46.10023983,10.47421388,132.4820392,30.63284256,148.5319224,60.48348598,11.90188892,179.5339738,27.71655182,113.1692195,37.61184541,6.318664053,30.82675302,8.863456083,5.049532363,5.224646256,8.267743596,27.0104784,9.916759324,47.13545444,12.61446013,7.295015092,38.27632897,38.01308334,310.8552011,74.71772205,5.149885134,62.20905759,58.51598425,533.099117,199.8269263,9.147654886,59.57690111,35.28551175,285.0930042,191.0547233,5.983097434,328.7610989,25.85178517,66.34035272,147.407733,6.594870098,83.28000603,19.32501795,102.9478065,80.55004901,6.405770525,84.3598177,25.98638421,163.5551818,63.63118157,5.052030297,20.27146563,13.15055961,65.19341096,80.67850167,6.345499008,45.69032107,23.35755217,111.5712388,49.21501179,9.432426048,3
14.16783491,6.043186302,55.13423434,13.44534981,6.228777711,71.83059321,25.49913334,146.8639235,26.9814245,5.636277966,120.3004453,75.19025979,378.4540699,66.57563641,6.183626568,215.5087842,48.35679878,259.15432,26.74721312,3.739923948,10.88657098,4.844010689,11.38545229,7.685263097,7.298938471,17.01828293,18.00130115,105.5443753,12.07253318,4.111187191,56.82772344,21.31306533,247.1080103,23.67557596,2.259287009,27.39537332,51.98208292,236.4710895,73.81037104,3.797334286,21.84165812,43.70548152,175.2418465,64.06248942,5.034263358,39.70829302,65.07464783,187.3300517,59.95190656,6.92489037,58.85816016,75.88641582,390.7788922,84.01403319,2.309911804,88.04020291,53.95683804,423.5808362,92.50657506,3.731117919,18.35299121,64.42514991,334.5117574,79.52712136,2.093833732,81.1857895,35.91540556,331.7763483,74.45834474,3.89009834,3
6.725071102,5.593275169,22.54659542,18.73089974,10.59674078,49.32946869,15.41889876,78.55169909,40.51653812,8.325831512,44.87313101,17.89618775,87.00546625,46.36647701,18.10296416,35.69495092,25.46635664,121.1305435,38.8591872,10.7776107,52.47788075,25.65655647,33.90193818,35.34762706,20.24882052,55.80620137,4.986548731,7.166484823,15.36301084,4.512720522,76.7110494,26.688878,136.2306468,35.25921705,8.808413105,146.66593,37.0084954,448.1149737,52.03343145,19.11522029,43.71453037,16.19416263,213.4199619,45.47408368,21.67291396,206.7469628,13.7771932,61.29874554,54.68687163,31.34823761,26.37296029,16.15981988,37.18477641,48.99494636,14.95058778,16.49002448,24.7304698,46.56176365,48.38236992,12.24282315,58.71823832,17.31900934,25.15357905,38.45327261,14.41496691,26.24263001,20.82225282,26.99807393,50.75081286,15.63747977,3
