delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
43731.60572,1133.89768,590.282833,653.6462568,142.8199449,54975.1577,1397.637455,709.3432578,767.8722706,151.1377528,86065.77093,4562.791121,1714.063992,1815.826172,363.5809479,54924.88994,1378.523435,711.538409,757.6509814,143.2621487,56643.3842,1416.796494,688.527636,915.1639111,356.7164709,51236.85446,1281.949979,594.5392837,743.703438,159.6794217,46324.24625,1164.77993,545.2094195,687.5192312,143.2093346,48702.49687,1240.935,609.6923604,709.2127885,135.3521827,38483.52789,1001.740986,507.4699753,633.5689782,150.1837152,55221.72939,1432.439892,711.2511764,862.256173,240.0860466,56912.10983,1482.996154,755.6384666,829.1139331,154.8696752,48855.87741,1263.50618,668.2158915,718.6943533,135.5889289,44923.74299,1142.075379,599.1287178,668.8197687,128.582599,39878.28844,1030.210857,550.1640394,603.6846597,125.0932069,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003.54904,68.44989746,59.32529897,67.82393024,43.73059988,1053.004169,60.12578985,51.5412882,75.83786961,52.55863789,35754.79268,2664.363092,920.5084766,1051.993083,250.9070384,758.4262761,83.9044982,62.47618454,76.42640276,38.95945273,1380.567905,51.97303131,40.20404435,198.7070598,270.8528427,849.9125615,37.22032592,37.80274325,76.62693302,78.41939168,1005.88805,46.18265239,37.15293346,62.82715023,44.66294251,1126.130773,74.22778126,76.51562491,74.24105136,35.18921681,866.6840051,57.71486487,67.44846753,96.45215994,63.82474755,1257.004245,81.29196992,91.89537946,156.6270681,128.6530255,1118.937335,92.25430059,96.74138576,101.6636154,42.84833493,1020.725567,79.22398403,74.17503933,76.92898486,31.00601189,953.457452,74.451635,77.00990889,81.1298406,37.09793475,922.5824736,73.83628193,70.8163588,67.2968256,35.40967869,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.98437721,47.16058252,64.16900554,47.90725635,39.58198196,96.76445517,37.58757964,57.1253435,50.31927086,15.10803341,196.3926442,54.6720361,60.22233065,50.79136379,68.62993457,101.8167701,41.07715451,60.30079818,54.35592311,15.90090371,75.9387876,21.25734949,34.73301916,47.20680345,25.39203155,70.56890618,12.20187191,26.5691262,29.7994972,16.18301906,74.9333904,18.0075911,35.64858132,45.68332846,25.12167798,111.1005598,38.4382802,75.93246903,52.64344503,19.91515185,64.51862166,36.55769326,60.10715688,55.0872026,20.68146837,94.3983698,53.78095384,91.1821643,84.37168583,30.93055471,132.6998692,66.0736945,105.265497,71.92343328,18.57523545,124.8496303,64.18859638,79.71727312,53.16506768,16.12826397,118.7739554,48.14603542,83.16642451,56.14804915,14.47847424,87.76158736,49.07270483,72.35448262,44.89758051,33.26554187,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.35500971,37.15743501,58.98887995,48.97695168,34.58392153,98.61433345,29.68176853,47.80658801,46.75890484,12.52057751,111.038606,42.62565355,50.32618053,49.66233563,67.05589069,96.07256303,32.53141304,47.34221214,49.23823926,13.37457964,51.04428166,17.16716677,28.09398148,46.15690028,20.22757613,34.60610857,11.66061406,24.74846685,25.03730407,12.19331192,51.52784403,15.71405912,32.9031436,42.38359492,20.87329556,108.121115,32.82845056,64.07763171,44.79514389,14.39336873,43.10482526,28.09692534,52.21009649,48.01558822,15.01975461,58.73455585,42.49538608,66.75176908,80.82946313,24.91307421,95.27024145,48.68542189,79.83389495,70.03235045,15.91986204,99.98831474,47.71803491,66.86823862,54.89800445,13.23950375,198.438604,37.71835161,65.00047131,56.04070768,12.45728223,77.76932714,34.54281039,64.78910572,47.26056737,29.74558354,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.4205174,44.65836757,58.53522274,53.59868113,35.599135,94.04316568,34.67652161,50.66863425,50.7382546,13.46091471,182.8230771,51.54271067,52.21570843,56.85786886,70.99311239,122.1531773,39.53891467,53.40709799,55.19125585,14.81496168,43.74900749,16.13008127,26.61648886,39.59643199,17.31477197,29.47810271,10.00214656,23.40127619,25.41497745,13.41869168,43.03875076,14.18336098,31.43511345,47.22743562,24.7819882,111.9692275,31.89787167,61.48857737,54.45351438,18.08585889,48.60195351,37.98888682,69.11761466,59.51934418,16.46691843,72.00748021,53.96191762,77.09879947,89.47007052,24.96631067,155.4599049,59.8118062,71.44172123,81.14589571,18.08009919,133.6391085,64.49932013,63.85023997,62.90480286,16.15552329,146.2607427,44.41300088,58.78978199,61.38836606,14.54988866,76.93258542,44.16372464,57.46991273,51.35061496,30.91340802,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
