delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156.4569358,13.8985928,8.023706719,16.62620385,61.65037424,759.8375184,40.02531942,19.25339824,54.39837428,32.63032301,3247.813116,100.6588876,25.82552252,29.63343995,188.8274858,1609.578492,79.20479171,26.97742033,52.47786967,34.32243319,23967.16429,1026.826939,333.6403776,377.9073771,128.0601254,50.98904754,5.848009786,7.0240265,34.15644605,24.49545393,69.89191988,11.17154731,13.95379471,36.53976007,22.75082057,153.9018059,23.43436254,28.04191226,51.05963651,26.09551426,178.6988242,19.3316247,21.23160598,46.85947381,27.13146435,1604.227103,34.18573837,23.57094115,65.77474645,37.89779705,5631.088358,190.3476433,45.06496561,67.45524998,38.98217122,1790.906601,171.0668457,42.93213834,58.10007434,31.48168571,3399.397161,91.27342092,24.46690776,48.27875486,28.70007007,665.2876396,67.76770387,31.44981379,54.21881382,28.95831569,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.8077327,21.14173911,10.60299409,125.173635,211.2516819,1072.621226,112.9446922,48.19901429,464.589355,460.8748262,45620.402,496.7071115,124.3759243,298.4943718,404.3407946,1098.915306,84.65552134,35.16218208,422.7866958,442.7061464,4628.688172,1347.357121,519.6959201,1025.983752,840.6463957,108.4095484,31.00203028,22.00367794,460.7737212,505.9404353,126.0899898,32.00888979,22.88175817,344.8295994,368.0863936,193.0665629,50.74277785,44.70837944,403.7908881,395.8501622,209.3607991,44.85947791,36.21721044,393.5797612,390.2549865,891.4750649,57.06794732,36.07224897,449.7204644,450.5607355,2342.281488,163.0058348,48.35065722,422.9425159,419.3462548,1564.558064,141.0217217,47.01775093,400.1347231,400.524872,1810.671125,86.88149878,31.7491562,332.9004562,342.4961377,501.2836486,84.46229216,37.69912499,402.0869939,403.0033325,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.3537195,12.18049041,7.546171225,18.35591219,40.21334024,1247.36008,47.13965881,20.24123878,48.30821715,28.72887519,18529.59526,721.3724918,285.0698061,174.9883182,140.8698417,1311.189263,62.88220701,20.57337907,45.63908761,27.76498543,2240.712499,286.3569226,97.2989946,137.7532058,55.05605922,113.4250971,10.1529322,9.194145693,32.62870147,23.15660974,143.3750515,15.51469574,16.221416,33.05953423,19.3489629,256.1407455,26.37807774,28.56438434,47.28389948,21.52926391,228.3198907,19.45124852,18.94830678,43.3129299,22.43848041,977.5926459,29.29306675,20.5631031,58.228194,32.31770958,4722.418041,159.1341531,37.98861627,57.71059981,25.6843964,1583.659995,107.3689535,33.90107112,57.45858152,26.48784948,2698.174079,67.13327461,24.62493552,43.53043498,22.05184731,678.7781836,50.33975257,26.75807321,50.28049971,22.61604918,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.9979014,15.3746365,10.22053547,89.49049929,101.7419588,3009.444478,207.1601622,86.19198673,380.6056091,361.3414579,70196.31431,2574.974457,611.1951231,549.1546968,153.5221257,1279.89213,67.6633028,29.63473443,312.5587441,332.4378298,40885.51781,17361.27688,8510.710073,7259.40304,1337.939128,84.03514995,17.69224037,18.0175525,333.8263989,406.4790838,87.43964704,22.5846643,20.21798787,255.0098422,290.4622185,193.1525103,32.84296137,36.99530209,304.5273252,314.3155591,158.4936154,25.80034109,31.67883556,299.5903834,319.9983004,956.185718,34.99308579,33.58869296,347.7462311,360.4049183,1970.346303,104.0585767,49.58181204,304.9855412,309.584481,1092.242473,100.7978903,43.08223357,288.1948796,298.755136,2049.894752,78.58774,30.1336673,247.0110161,259.025886,378.1536456,50.82741428,31.77168942,290.9533654,304.773216,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.8204198,12.93076509,7.737749923,28.73657863,38.9960662,690.3636053,40.69833828,19.88182549,91.45177486,52.25078941,4143.923673,107.4765992,23.30020124,33.05614214,116.5545167,1942.281415,80.95475022,25.31687045,89.8859919,49.80107552,92704.32652,20430.13825,8006.954872,8768.48472,1393.821283,216.4804351,9.776360457,10.43148609,77.00645128,52.11439251,65.53232694,12.52368461,14.46819475,65.48595657,40.4067473,192.2816847,21.78161663,30.79848668,87.10076674,43.63784711,275.4431409,16.33051792,22.77224518,82.09191675,45.97407907,2010.887671,28.61840167,26.23147039,106.8309219,62.53169759,4886.418855,148.3459512,41.8578768,101.0923996,55.47163352,2061.922778,105.6610426,37.85064436,93.98539017,51.03984096,2517.045206,88.95303416,29.13266087,78.40526532,43.09087321,813.4523404,50.36641169,30.42765668,88.00520232,46.8503229,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173.8564014,24.80491491,10.61447541,68.25058969,79.44100275,600.0893053,56.76247853,34.44373277,229.3210838,232.3550769,5275.347167,118.945796,42.50359311,79.63077103,115.4366004,1867.468287,110.1458303,35.47365119,225.3591298,228.9389472,23878.74675,4194.334042,1868.162658,2759.547377,950.7148498,67.30775366,18.48087256,20.06000372,222.3083408,246.4021656,78.33255753,23.01276942,21.01088852,173.9257727,192.4007351,153.3146872,38.98936159,37.7767665,209.6036019,212.3136972,154.9947796,32.34304573,29.40568648,195.6315009,206.4753833,359.0323052,45.77382132,33.7372635,243.7560169,273.7974542,2830.191285,257.5750528,72.69340899,243.4186829,243.1657797,1504.781778,198.1679732,55.70043164,219.1931474,220.5491343,1434.640952,125.7183735,38.66965796,192.3422608,191.8251497,582.0394766,89.65846011,39.42704394,213.9883095,218.291297,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
