delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
68.72472213,80.74601287,73.13419394,41.22544626,29.4037133,72.17423235,63.36083893,99.74760606,42.83433629,11.65790737,61.73572579,98.56748121,67.48502027,51.68116005,25.71218085,88.54373339,56.53541383,64.60533086,57.67698665,18.5653596,55.52212434,27.27101334,32.77381731,62.21985206,31.61591079,52.15720202,17.60034929,30.67067215,27.50367123,14.67111994,81.66777073,40.4322871,58.44145892,52.76561893,24.69945456,149.4225971,64.7575606,89.26005813,79.65852445,24.85392166,31.13705852,70.31106713,83.96871788,67.50196443,23.2147881,57.3422619,132.6011826,146.5739455,98.97317095,36.02498003,107.7453181,187.487662,190.6673529,62.77919504,23.22549346,243.197157,179.0534488,104.3580631,54.78017947,15.68860979,101.0218238,144.4909112,178.864811,45.75083682,16.41564549,61.3497915,103.9755978,96.69175554,38.19453686,25.09437142,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.9624395,26.31372986,46.19002668,36.6818097,21.28675037,407.3130648,21.3083522,47.9118237,41.23261516,12.58259234,297.0919024,25.60804311,47.3369904,42.02486035,20.49075397,464.937613,19.79933535,50.98574764,54.65435585,25.0567992,219.7665282,11.03041047,19.52507331,54.38329149,43.65322983,142.0650686,7.803502647,15.56561633,23.37108356,22.33203248,143.8017596,14.59347736,31.6528904,41.3992254,21.98753726,150.5809352,26.82308583,36.72135575,61.21281423,20.70945706,126.9002443,16.60993116,20.1670807,59.36036623,19.77547046,198.7731775,24.54351311,36.00459254,99.10341709,36.21841952,606.498392,35.44435871,75.05080369,78.39451895,17.52209871,338.942083,25.24157241,66.15252007,56.30365371,12.28269749,242.3227364,29.86343894,46.50671247,43.18582021,9.376861657,209.8111307,34.11600734,41.95060977,34.15746095,20.33613868,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.84814234,19.64353236,45.08000233,44.60030411,32.03061485,152.1285336,11.68862065,43.66511956,55.65866689,20.18891645,180.404803,18.83068117,56.47345127,52.2083335,29.92926861,139.7344761,14.11951826,51.46422342,50.91635866,20.6667069,205.9394731,6.18224926,19.43755746,84.92681044,42.51185191,105.0575606,5.293314013,15.23105466,52.98073778,35.45941816,102.136553,14.8644654,37.31423007,60.10860681,22.77074658,74.81477983,25.41437065,56.40376805,82.56957525,33.5678195,100.1812427,16.43331052,31.92419549,66.55418078,29.0176536,363.7654148,40.78031401,60.49133211,114.2762175,48.8472441,240.2295349,30.84792082,63.01427033,84.27576767,31.37782497,191.1912636,23.99323483,62.68758977,59.50491826,18.42790078,136.4306901,22.03738254,43.91379694,64.44815699,23.36723908,96.87759791,23.08269314,44.16224879,43.01740565,27.21444399,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.92162384,15.01268535,37.32190089,74.67880256,23.19536545,44.65337217,13.95850662,33.70359324,72.36926702,15.20082497,39.08367076,17.29988198,30.10322241,84.75233964,24.1642263,24.237135,15.69331452,36.61112629,90.90942482,13.39728784,40.09725892,7.806394939,21.96331527,68.56736775,23.50475565,35.58305033,5.38282045,17.42127308,32.85703554,18.83548819,38.75111363,7.439352253,24.55829877,49.87704102,15.47764974,85.65700384,22.86958279,83.68593241,80.14281556,19.58680304,60.68975136,15.02391242,72.31563399,85.91258109,22.17427459,99.5464739,22.09944939,102.3229936,139.5888497,32.05046855,257.3233666,28.98169443,82.82456702,180.6581166,20.93044956,124.1902013,35.46790114,63.38919301,114.0633284,13.05458111,110.2133776,13.4004257,66.05810521,124.7447641,13.62474442,68.72669956,13.12640061,47.56191751,86.22016231,19.14873582,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86407225,24.77388838,16.59020414,30.24240601,24.59694077,44.16513302,25.07934366,24.70056479,32.42061436,14.65457334,35.99905634,25.85588889,23.81324366,35.25921566,23.18807628,14.83388384,28.85382892,27.53124939,39.49717339,16.48238397,37.08947578,16.46841724,11.77467063,47.37348128,29.15883559,34.39725775,9.908278578,3.804551769,19.38020195,14.57284861,30.94307599,8.841906167,9.111288457,30.57523704,18.81470515,154.6553588,27.33368792,25.52896352,43.72144096,23.99898899,24.73335336,27.30931157,17.77732288,49.32646163,23.59192479,19.7428436,44.32332005,34.74829439,80.90915099,37.72246298,35.74182733,50.0233364,37.07163551,51.69205636,14.53936401,56.51202393,32.0897078,23.72600585,34.93419488,12.44889346,58.81777783,39.85227283,20.00625319,40.07150327,16.40314049,31.55472216,26.63381176,15.93817109,26.97238534,21.95086797,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
