delta,theta,alpha,beta,gamma,state
435.3686841537246,144.07404798434314,57.91026832904178,187.5856562656513,1823.5632843433152,2
425.01252712689984,144.31631955396628,54.93024105624055,188.5025971687382,1823.6151056157476,2
424.36649145271423,143.51695206853688,58.135431410685726,187.71054872262306,1823.6136497775071,2
421.7020597006688,140.83607250475328,55.607938272563786,188.11792657841212,1817.4969984662039,3
419.6971415532543,141.19394681587002,56.20040342814587,185.2122440434769,1817.5879506186452,3
434.55771832926126,141.56399930985918,55.05079851446642,184.0877099319329,1816.7757325543355,3
461.57525192093755,153.30770994531866,51.593399457064315,187.328333097467,1806.891802801778,1
462.52088825394503,153.222185473712,51.42893561141232,186.39725254480072,1806.4693508168161,1
450.23642700167295,152.90295087349938,51.66409081444318,187.12748130783189,1806.491772010304,1
429.55012688529985,151.9430204794501,67.3057572619133,188.5450915447481,1797.0483283528577,2
425.54809619227734,151.57294086039064,61.56014787338378,190.54783832487183,1795.5784675626512,2
430.2676935723663,151.02689586301054,61.0643224278133,194.21047552367622,1795.1207086047687,2
416.91491436562643,144.47225710170252,55.3095062331763,188.400201971996,1787.6037963908618,3
427.7440237338695,144.9844985539209,55.702309714739286,182.77020030202462,1787.6294418451853,3
438.2628025405278,145.92730394106968,56.457365188894165,182.2907074736148,1794.5040280459177,3
432.71450255968506,148.5672779527743,49.87042516841782,181.36628051639585,1691.022300003516,1
423.2504917160217,147.87680497581556,49.71654134866197,181.55848973474045,1693.6208469438245,1
429.44119966862536,147.671999000117,49.644268545140335,181.44991843247536,1693.5716032378193,1
406.9625946469475,145.69112747011596,49.36215798543247,180.2157893367204,1692.7035431792385,2
413.36109508773876,146.0571240372255,49.67753453939789,180.0065268351598,1691.7869920833764,2
413.9794230725857,146.04688752793476,49.613697669460024,179.92347570178276,1691.4527661627833,2
406.0925559555458,144.6618171188853,58.849424280552796,181.93894519043673,1694.1331654364767,3
406.4164050384205,144.81398711898584,57.014086130438166,181.73804799620493,1695.0415459380813,3
405.6971710217936,144.60135887941746,55.548450332034214,182.60428802986377,1692.0374970620403,3
414.2962707666654,146.08453465184581,47.995344924568236,181.79715152129577,1675.0649045851667,1
413.30054553836925,145.94657708314523,47.92010374821389,182.05409791932195,1675.057044356976,1
405.2007815604906,145.45716411959864,48.211445151263774,181.44530785017042,1664.3298047364678,1
401.44363783171946,144.6079162702795,55.11811006994585,185.01778457745488,1664.875460975634,2
398.72858297856527,144.1209666968681,54.2108336919675,186.67509972061785,1646.828501640552,2
398.3995961341835,143.84481157095703,55.8738979087314,185.03605473656006,1647.1788176469347,2
