RANK: 3
OVERALL PERFORMANCE: 43%
EPOCH TIMESTAMP(Every ~1000 ms)      Performance( Scale: 1-5)
1597501809552.0                        1
1597501809698.0                        1
1597501809844.0                        1
1597501809988.0                        1
1597501810127.0                        1
1597501810260.0                        1
1597501810404.0                        1
1597501810546.0                        1
1597501810689.0                        1
1597501810829.0                        1
1597501810970.0                        1
1597501811118.0                        1
1597501811268.0                        1
1597501811415.0                        1
1597501811566.0                        1
1597501811717.0                        1
1597501812033.0                        1
1597501812194.0                        1
1597501812368.0                        1
1597501812516.0                        1
1597501812691.0                        1
1597501812845.0                        1
1597501813005.0                        1
1597501813166.0                        1
1597501813343.0                        1
1597501813501.0                        1
1597501813661.0                        1
1597501813829.0                        1
1597501813995.0                        1
1597501814165.0                        1
1597501814329.0                        1
1597501814509.0                        1
1597501814668.0                        1
1597501814851.0                        1
1597501815011.0                        1
1597501815185.0                        1
1597501815336.0                        1
1597501815516.0                        1
1597501815666.0                        1
1597501815830.0                        1
1597501815986.0                        1
1597501816150.0                        1
1597501816313.0                        1
1597501816478.0                        1
1597501816646.0                        1
1597501816834.0                        1
1597501816983.0                        1
1597501817152.0                        2
1597501817325.0                        2
1597501817492.0                        3
1597501817660.0                        3
1597501817822.0                        4
1597501818046.0                        4
1597501818212.0                        4
1597501818387.0                        4
1597501818536.0                        3
1597501818698.0                        3
1597501818852.0                        3
1597501819010.0                        2
1597501819163.0                        2
1597501819315.0                        1
1597501819464.0                        1
1597501819622.0                        1
1597501819772.0                        1
1597501819930.0                        1
1597501820084.0                        1
1597501820247.0                        1
1597501820405.0                        1
1597501820567.0                        1
1597501820731.0                        2
1597501820895.0                        2
1597501821061.0                        2
1597501821231.0                        3
1597501821421.0                        3
1597501821578.0                        3
1597501821729.0                        3
1597501821880.0                        3
1597501822027.0                        2
1597501822179.0                        2
1597501822326.0                        2
1597501822475.0                        1
1597501822624.0                        1
1597501822786.0                        1
1597501822969.0                        1
1597501823125.0                        1
1597501823276.0                        1
1597501823435.0                        1
1597501823583.0                        1
1597501823745.0                        1
1597501823900.0                        1
1597501824063.0                        2
1597501824227.0                        3
1597501824382.0                        3
1597501824539.0                        4
1597501824694.0                        4
1597501824845.0                        4
1597501824991.0                        4
1597501825133.0                        4
1597501825280.0                        4
1597501825437.0                        4
1597501825578.0                        4
1597501825726.0                        3
1597501825867.0                        3
1597501826009.0                        2
1597501826160.0                        1
1597501826305.0                        1
1597501826460.0                        1
1597501826599.0                        1
1597501826748.0                        1
1597501826891.0                        1
1597501827033.0                        1
1597501827174.0                        1
1597501827316.0                        1
1597501827461.0                        1
1597501827603.0                        1
1597501827745.0                        1
1597501827893.0                        1
1597501828039.0                        1
1597501828191.0                        1
1597501828340.0                        1
1597501828495.0                        1
1597501828653.0                        1
1597501828812.0                        1
1597501828975.0                        1
1597501829142.0                        1
1597501829298.0                        1
1597501829463.0                        1
1597501829632.0                        1
1597501829791.0                        1
1597501829956.0                        1
1597501830126.0                        4
1597501830299.0                        4
1597501830459.0                        4
1597501830623.0                        3
1597501830786.0                        3
1597501830960.0                        3
1597501831134.0                        2
1597501831286.0                        2
1597501831443.0                        2
1597501831613.0                        1
1597501831764.0                        1
1597501831924.0                        1
1597501832102.0                        1
1597501832258.0                        1
1597501832427.0                        1
1597501832588.0                        1
1597501832749.0                        1
1597501832913.0                        1
1597501833081.0                        1
1597501833235.0                        1
1597501833415.0                        1
1597501833579.0                        1
1597501833753.0                        1
1597501833914.0                        1
1597501834089.0                        1
1597501834261.0                        1
1597501834444.0                        1
1597501834602.0                        1
1597501834770.0                        1
1597501834933.0                        1
1597501835075.0                        1
1597501835241.0                        1
1597501835419.0                        2
1597501835574.0                        2
1597501835740.0                        2
1597501835905.0                        3
1597501836075.0                        3
1597501836242.0                        3
1597501836408.0                        4
1597501836570.0                        4
1597501836743.0                        4
1597501836894.0                        4
1597501837061.0                        4
1597501837224.0                        4
1597501837375.0                        3
1597501837529.0                        3
1597501837688.0                        3
1597501837845.0                        3
1597501837996.0                        2
1597501838158.0                        2
1597501838308.0                        2
1597501838459.0                        2
1597501838612.0                        1
1597501838764.0                        1
1597501838902.0                        1
1597501839056.0                        1
1597501839206.0                        1
1597501839359.0                        1
1597501839508.0                        1
1597501839664.0                        1
1597501839870.0                        1
1597501840022.0                        1
1597501840207.0                        1
1597501840361.0                        1
1597501840510.0                        1
1597501840659.0                        1
1597501840807.0                        1
1597501840958.0                        1
1597501841101.0                        1
1597501841245.0                        1
1597501841390.0                        1
1597501841541.0                        1
1597501841662.0                        1
1597501841806.0                        1
1597501841956.0                        1
1597501842104.0                        1
1597501842251.0                        1
1597501842394.0                        1
1597501842541.0                        1
1597501842692.0                        1
1597501842836.0                        1
1597501842977.0                        1
1597501843123.0                        1
1597501843270.0                        1
1597501843412.0                        1
1597501843563.0                        1
1597501843709.0                        1
1597501843866.0                        1
1597501844015.0                        1
1597501844173.0                        1
1597501844326.0                        1
1597501844490.0                        1
1597501844645.0                        1
1597501844821.0                        1
1597501844975.0                        1
1597501845153.0                        1
1597501845310.0                        1
1597501845486.0                        1
1597501845644.0                        1
1597501845811.0                        1
1597501845975.0                        1
1597501846144.0                        1
1597501846308.0                        1
1597501846477.0                        1
1597501846637.0                        1
1597501846803.0                        1
1597501846968.0                        1
1597501847131.0                        1
1597501847306.0                        1
1597501847473.0                        1
1597501847625.0                        1
1597501847789.0                        1
1597501847969.0                        1
1597501848127.0                        1
1597501848288.0                        1
1597501848454.0                        1
1597501848613.0                        1
1597501848787.0                        1
1597501848938.0                        1
1597501849103.0                        1
1597501849256.0                        1
1597501849418.0                        1
1597501849585.0                        1
1597501849754.0                        1
1597501849947.0                        1
1597501850105.0                        1
1597501850261.0                        1
1597501850430.0                        1
1597501850584.0                        1
1597501850740.0                        1
1597501850890.0                        1
1597501851050.0                        1
1597501851204.0                        1
1597501851361.0                        1
1597501851512.0                        1
1597501851673.0                        1
1597501851834.0                        1
1597501851987.0                        1
1597501852137.0                        1
1597501852293.0                        1
