delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
670.4178562244617,12.018234754179604,3.776287605675566,5.4367843002644065,2.109046401369278,987.627801500007,10.362277757909672,3.830425623584007,4.509139775646447,2.045943428512159,887.8087832080349,9.34361445571664,2.583901142187817,3.9686746862888684,2.175635094227162,1481.6223153116546,12.218096511520834,3.6611094372080983,5.982612997766853,2.5324002942826795,2131.6807793621124,14.80184157322511,4.385592800778642,7.77762149074625,3.0505805072517016,819.9131095544291,9.267418162043707,3.8255949037428985,5.927464286613169,2.5038505177365344,373.77321236592144,7.19449244010377,4.736767994792782,6.043397177123472,2.4973612957247653,1
785.3734530348281,12.750162781869562,4.07444064881962,5.147506924620456,2.046108611162022,1567.1975986809439,10.219248158168877,3.9750850280229564,4.587323033459192,2.0051080631107707,1342.117668517594,9.185236566094929,2.3745951197888786,3.850790445257541,2.0479769611618623,1945.9785804753742,11.202323102889924,4.175412051163152,5.813620281451121,2.5637545121856933,2712.994463870255,15.619492949140248,5.00344844916854,7.567219689535991,3.128233789852791,1271.4258901729784,9.292554502325473,3.8549823272579546,5.7482886833714,2.3272823818239012,454.9912247956551,6.505007235088986,4.289090115587026,5.687017112802033,2.325383728333833,1
121.90388925585421,9.046389956041438,20.8710631599688,5.335923693654961,1.7142929100929611,153.0180546000892,9.32820549064551,21.21141075080343,5.832211496592672,2.0755262858674355,118.30791636416218,4.394436505265935,7.361662572692235,2.892362858628017,1.6047856833466465,587.4238258838228,8.905367835974483,20.924383252136543,5.380613667888064,1.9051404660806128,413.7106576897345,8.62456951184224,19.432658991782386,6.775033510184675,2.110052813734135,244.10376352521763,9.26192003417359,17.055391909956267,7.56803275451473,2.5132231896644788,165.35052066607187,6.3936666088350815,40.1566547313915,7.436623784464079,2.3487067133793498,2
228.63059042673572,9.253335716610778,16.381316898759074,6.466525932657725,1.9559671764666322,221.2231576920703,8.471910887639215,15.940108682659886,6.322773502264203,2.2254639589928042,170.2480597646565,4.1086494680163925,5.164055436871996,3.0614670805740483,1.6537818043344104,682.811274844189,8.593661481049462,16.566804699336956,6.540273484390997,2.134309955445357,1146.2823168986783,8.966929267421207,16.218052497750527,7.403421105582447,2.3547065562705236,473.64756977513093,9.144039906322067,13.976280890012012,7.407825421898483,2.567770329479805,158.05678785701352,6.330691881539084,25.952351444510636,8.257654778111146,2.5523559607103374,2
104.63174898582255,9.66708659290466,15.546616654133874,6.0136784085561485,1.8582569138983436,79.43438983409976,9.23564973038382,13.379696726780685,6.265625129671729,2.099792533722412,68.39471003733469,3.2757221712650564,4.598657408130663,2.951658237200525,1.2985327961377782,281.4392964627366,8.797270679548856,15.78795321791459,6.517937651447865,1.9677043558989795,351.2704561471517,10.44126706947272,15.443225469340675,7.436692811313401,2.255767958991082,84.15831603574279,8.134674582440208,10.465257187975789,6.8028458466270525,2.5737613423050854,82.70882668625968,5.569498200203784,25.825578903535114,7.937764006653916,2.451857771496827,2
912.5226273955899,12.652671356777356,4.110395843047183,4.853283476567459,2.1476156155222363,1461.847658253797,9.576740582387536,3.900865797921138,4.665753167506879,2.1641683068202178,944.7396827313036,3.6198812436872574,1.9610022323775422,3.417001587211421,2.1824860675855082,2654.1917418858066,12.263374306426094,4.311613594129108,5.4417332092589525,2.388973978891096,2390.6735275480705,12.93505182877611,4.791812987699394,5.967180595024079,2.5366379640237193,1011.0976506759375,9.413220435501358,4.314438413235722,6.685442518937722,3.0450655039943286,557.5809964460215,6.908934105554925,4.547835285308538,5.532373148941112,2.7316061389074715,3
758.046952945751,28.509050346258523,4.1109349566776645,5.2809117651716395,2.0730471821068717,996.447520072169,9.956090977834954,4.196354990205646,4.996909969942428,2.323841386869092,637.3675146065309,3.6225815187830093,1.7903284616123059,4.212403918157438,2.4810401735210865,1729.3176202959387,22.212529210082803,4.446337822409816,5.6013288739055485,2.3762634076234184,1555.0043547283778,20.81086590975635,4.426236509775475,6.559999973520982,2.5597501776128637,747.7365666625557,10.768381712642867,4.2855264069208365,8.031216355099994,5.967106597678203,356.0583731647748,9.239247341844044,4.1994676124022,5.960234779233076,2.7364783958365604,3
806.4993725811124,17.841908560623345,4.154649301827473,5.254768475162483,2.0950611470979466,940.6832861753618,11.177870600049843,4.152582605580743,4.935762693635097,2.350299791110595,600.3764685945027,3.3849111525928253,1.6512695564320041,3.3029386545644077,2.215027983156762,1713.126662621192,16.589386066996486,4.11400398412756,5.503874876266393,2.265847355828454,1591.3653259975285,17.683953046356073,5.42207268817259,7.062757695424896,2.631991434449758,718.1051707650035,12.827713883726869,4.667642639501098,6.708169896505737,2.9684900971301924,379.2618966151474,8.32229259562899,4.3709887831269985,5.96210158980886,2.7436037398345294,3
284.94139018274825,22.699763305144373,6.956449665006256,8.195983410497268,3.182536690026056,342.2583003183717,12.176096761678032,4.77958763298636,5.768273510641072,2.530067128672318,191.02193165043005,9.740559787391705,4.1685516495741926,5.7474930043527435,2.8047058614488374,496.4554941897004,19.23641053243361,6.113085960892518,8.654661797786916,3.3281584844963596,1804.5216604718537,81.49066617676759,26.85421877918449,17.27784857976158,3.9644089479312634,300.0564533908282,11.932912566219,5.406940123863282,7.385361444991907,3.2165343566538374,235.452550608967,8.293874305851194,5.208935463991157,5.698727577133337,2.183875879376328,1
200.49009536915443,19.695669717174873,7.10101678981132,8.345810035254596,2.909214594213594,152.4696310066669,9.67693548030473,5.062537019789351,5.712906125408982,2.4420372795870997,80.48679229840751,7.306688046238717,4.232150919272934,5.646044898411651,2.3142694766248817,438.9729861582702,18.06883826358129,6.341699941717014,8.375006601061317,3.12609805929762,1134.799990596522,64.01861794184131,21.40061002433891,18.417455044355314,3.8151643402423283,158.58109744244206,9.466654942598854,5.179285316954326,7.23074747640288,3.279809168976501,212.40780547612383,8.067887798765966,4.975838514572338,5.898691759531483,2.2040835938789876,1
116.18124646038164,21.272504993697215,5.564123365689499,7.740883597658364,2.9474121274534464,47.885470046083285,10.919307914502555,3.839572388237453,5.448257281967854,2.3796115311085195,42.06761461055469,7.051255944154275,3.265052599093996,5.298420818522785,2.1786151391150557,207.58158014642518,16.94491528252166,4.910850919514791,7.267131439299886,2.8814483639142585,335.011626395589,24.038649373711245,6.2785380258070695,8.662779061956979,3.2016261615288157,52.10599358064484,9.45156620806767,4.637689695773223,7.452350687061327,3.1646293238312673,110.88693430348901,6.64104930434028,4.141916955462397,5.309941236809299,2.0591291040694957,1
