delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
1687.942313,111.174773,28.51160414,37.53713512,16.13512246,170.0452009,18.82788487,7.611529538,51.7402926,49.89322026,645.1339824,96.85202932,19.79185402,16.59188818,8.274711952,235.8760544,39.41058682,9.416638793,20.16725377,12.68930756,11831.1106,41.03777313,14.42866239,51.72054263,33.63492825,31.13217131,6.862410345,4.338256033,9.968881879,5.349422161,163.9944564,17.76458797,10.92965544,33.76266533,25.37452436,42.51218162,14.29136398,8.874091002,17.26982521,6.943617932,21.93878951,6.65924885,6.664783464,10.13445386,5.381234208,35.14241196,11.51718657,8.482257398,65.85696823,44.71497002,159.6112131,22.42430014,9.642515953,34.28659235,27.8563764,2629.614317,257.9833544,48.67563977,51.67085394,19.21891102,67.43186385,9.737681644,11.71245492,116.8238097,175.7759276,118.5473362,24.58394587,11.13495266,28.50215259,21.60711702,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822.430324,103.2717807,33.54576692,44.81578839,16.61162623,56.42381676,12.28993236,7.486312235,51.01109917,40.87421494,183.1229295,33.87439526,11.19463868,16.58972344,8.63221354,86.56344256,15.81997579,7.422469043,19.34471464,12.22905511,263.1271967,20.95054053,11.12677997,44.18877625,28.2664873,26.47955983,6.58051093,5.637341729,10.95541733,5.939156844,85.79592085,13.09665638,11.06918371,32.00144452,26.41228306,48.57344416,10.74004094,12.98202517,14.68059154,7.934169012,23.2647325,6.664946587,8.763717883,10.93296082,6.268242434,39.30068407,9.46320278,9.368119942,67.83531071,44.89607508,73.75249979,12.63436326,9.134385474,34.19887782,27.03301285,1447.436103,76.67150951,25.8171093,36.42401994,18.79073102,34.23758867,8.219666405,8.212170819,129.5824155,152.1883674,64.58302379,16.03139404,10.28147318,30.49670719,22.61407611,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.7815107,60.41533379,21.01775304,34.55089185,17.61462306,80.63693695,13.08832277,7.314321101,51.0107912,40.04685625,209.515226,39.80619271,8.170800376,17.6896715,10.27162553,192.2591438,21.83120598,6.72019039,19.7788662,13.10460637,24142.83762,503.5557,145.596085,120.267447,43.23916324,37.33555855,7.67117838,5.892805774,11.49015371,6.758852797,108.2138804,13.79668436,11.50198132,34.40332897,24.83237855,49.5730917,11.07333046,9.776912563,17.337402,7.940125653,27.5605663,6.899504665,7.274183522,10.87014402,5.960142633,43.18883608,11.66867625,8.262503213,63.20405935,41.45929963,138.8467122,21.30880281,8.394403435,39.89183462,31.61723354,456.4892538,60.74366986,18.5764837,32.84489595,21.06495246,47.8759501,10.33623713,8.437333103,138.4621757,175.0447272,66.92395235,21.66414101,9.534533434,30.909862,24.59574704,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610.965876,193.6380926,67.72676824,78.16650768,24.02248228,1121.737318,18.12172981,10.27109275,55.59299047,42.76956909,2537.064434,48.35098766,12.29738453,22.17097446,12.03612462,1666.510779,24.98202449,9.535902606,25.69065473,14.79066571,2237.006998,114.2258346,36.84632948,68.42127108,36.41730969,1080.270412,11.58796423,6.989808266,14.75000487,8.690003154,1037.105474,15.77692412,12.23686265,37.32857049,26.39169469,865.9418156,17.98790914,13.14206995,21.34663108,11.27705338,531.649179,10.52607807,8.212305289,13.71411183,7.776723698,1180.867719,17.29873066,11.53644974,66.1234879,43.10584379,3924.63411,41.41369433,11.03057574,44.90020209,32.41362416,2857.20666,58.41738437,15.15552051,34.40727927,23.50292106,902.6083743,12.57434092,9.025404953,144.2609475,168.2886715,1537.184894,22.32449182,14.28038857,35.56420517,29.13099823,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2973.97539,139.5490064,56.6734501,54.43488812,20.83732326,229.0450657,12.65888174,14.28054143,58.84101979,54.3236059,237.5503416,32.34043951,15.69800417,16.50069325,9.308191479,114.4427211,16.62827304,12.03319802,21.36938271,13.96619481,1253.781967,49.02107545,24.49678606,59.36426694,34.05149012,30.93089848,7.20002994,6.287887161,10.35602269,5.867433969,93.67343456,10.40507794,13.28157515,33.49557033,26.80266271,42.63133996,11.19817047,15.88227414,14.97110588,7.801353552,22.25847596,6.597135045,8.096472781,10.2524775,5.594789007,46.00285269,10.06285284,8.786778394,64.51338136,40.95799415,97.78537514,14.69115851,13.79203086,38.40627289,34.48877559,452.8037726,47.03009787,19.53019818,30.99252335,20.1869608,69.57309335,9.561593996,14.89578355,189.3406012,227.8903464,67.14241825,16.20606549,17.73577616,34.37297368,27.43839725,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
