delta,theta,alpha,beta,gamma,state
43.09662157244695,6.481097453081001,2.4462422658167524,3.6384856979791445,1.6298069664317445,1
56.81762977513836,8.216906095699946,2.5759307680426637,3.9851271484784587,1.8159662856657868,1
23.84414983993966,4.8623082254860535,15.40401312969256,4.941242910334913,1.567006296820275,2
21.31343881645697,5.445771387460157,8.532346103208829,5.552020655470763,1.5143617022353648,2
18.983204868463226,7.889042685216967,7.152648163371105,4.730555076718802,1.5229914660531403,2
49.26526595204648,16.479318657825637,4.066332352150937,4.1180544106522,1.459576514301322,3
73.56563429820194,22.607281456009897,12.287420166062686,26.360580650610412,10.181304761550416,3
67.07986589147522,15.734581853853397,5.453826382736756,4.404668923745776,1.4107044454520923,3
36.1794079375977,3.206111746725927,2.3829622060744415,5.171961512565615,2.1079834982468806,1
39.777880644541746,3.8884214670192576,2.2713460555737015,5.199739296907531,2.168432588852787,1
72.37303294896294,4.279917928111842,2.4197243766689747,5.718137794711079,2.574282536512286,1
161.28093779883082,5.113018425503313,3.846764817656751,8.595873530966502,4.974085177426223,2
69.33211370618231,3.6563261574200845,3.7365288890437163,7.693247898080692,3.5158845419358338,2
114.80478723799482,3.538535341464145,4.204973202787528,6.815046431453766,3.866214577972865,2
93.49364433685726,3.9295387814232217,4.316220251047166,7.0796003566823895,3.2448411904003462,3
158.6628324814326,4.015583943110425,4.254599627325975,6.019312729734165,2.491645158489992,3
278.6930269588957,6.848485465930078,5.017461966910931,7.86657447613261,3.7031143845180674,3
17.45933322785263,2.932009401467017,2.133197996963475,4.2721658702481715,1.643226250835215,1
18.888636422916168,3.054695482848526,2.035161908227132,4.420008324264023,1.750559957527259,1
12.08119420874152,2.9349685184688497,4.132977030989094,4.720089393950017,1.69639805847992,1
172.84967882350423,3.8299387924269297,7.200138644286676,6.299695638436774,1.8951095182336306,2
289.2021159532145,3.393848136315112,5.906387997062566,5.4649416888481115,1.785612747148949,2
100.76027646762988,3.679231927700497,6.721908151051254,6.141711524682014,1.877397282069613,2
30.519481942379905,3.0878700414021476,3.546111026921852,4.822508898470704,2.1214634936615773,3
19.695243132337072,3.311604679058622,2.766875394639412,5.103839169134187,2.2632147931958135,3
23.36972164286089,3.195624889915632,2.0279407374669227,5.140998051673721,2.556331020758545,3
41.460341433879826,3.3757180398404967,1.719114623275095,4.760437796082846,2.101963745860939,1
144.6648068758204,41.807230598391904,16.559311874322002,12.919563438935102,5.177327371781068,1
23.555076037704023,3.3520962451332967,2.095352893266716,5.042358299569839,2.1275850451476574,1
66.77015883415343,2.9134996793431265,3.359171415963518,5.556589443329024,1.8396206292846935,2
307.1171783050099,6.458784171621315,4.530318861278155,7.152984295537798,2.497409105070961,2
213.34906239840217,7.940803904116452,5.831145836642443,10.042111520384534,3.241298884401884,2
229.39080268491847,7.407663556860462,6.782066052936593,15.130593387135619,6.922806108680455,3
2373.1696877234576,487.2733534788737,156.60548482859525,118.4316059036319,21.758397438276,3
213.3193564525704,23.412729290421613,13.72172963863123,26.01024170376824,10.157463738027094,3
