delta,theta,alpha,beta,gamma,state
520.8667792107219,153.24883335883646,83.26794781677434,203.6177089206747,1820.0633242592123,3
572.3714359310294,167.00929854102426,56.59829943184896,193.41013326077345,1809.3618267640522,1
517.3297663667043,163.16524144713432,88.17751740094528,206.58150746339356,1798.9521280571482,2
526.4180980168952,156.94591943953986,75.39700600000903,201.85411702754504,1792.7210875397789,3
543.040546255757,161.84481757481643,54.73810766311713,188.0003683785193,1695.5199442656497,1
506.4925936632009,157.55575268982938,54.01024373940691,186.23021525801923,1694.659573618307,2
498.8943476469823,155.36177980008216,73.6956496551298,199.76185758072666,1696.561628572645,3
514.8668784044513,160.1877557375101,54.374417546174755,190.94018449478241,1675.0410460758526,1
486.8906959330785,155.87977758018005,77.0793029625589,207.12481459414045,1655.7340208783137,2
500.6707068653812,157.26527077921963,52.544644807948465,182.6722354402909,1635.1587189409606,3
621.3761471983189,169.2739443797107,64.68490485141956,195.88445588770446,1700.2067281443449,1
792.6076465127156,240.99990749116682,130.86327004911902,280.76533022699607,1721.5454359007929,2
661.0668506530762,195.7656536065468,100.05186011646211,245.9953907827119,1731.8043589672902,3
565.8749716722456,162.0898730589858,57.38397469743952,228.05223174320662,1766.714152415734,1
536.8155696357293,155.43451212279228,59.62022405310512,234.18650382866852,1770.569931799671,2
513.1268948605755,157.140071633883,69.40824800549264,217.47771616522382,1730.824455331169,3
581.0451905608608,155.487810273795,57.143212262008966,170.74442407639359,1585.3659524302748,1
476.43326017192976,149.5519416085452,73.00325579198356,166.88632397869986,1595.753155940213,2
493.1210317995897,156.08424534953548,79.85658468402616,159.47402809861788,1512.734080584824,3
551.1134417837003,170.45593414839556,59.70558909761029,198.44546671092274,1759.2379809404513,1
515.0706482684734,164.70201708143017,66.22521496181743,198.76409997186857,1784.4840592515673,2
513.2210162037768,163.70199306197475,64.47851480841855,194.56898258736229,1781.3501871888968,3
523.0141073394557,158.8471441396213,55.80798705858401,187.98499032099465,1748.7671210931196,1
519.7832435971701,161.17377040628753,62.29731046846113,192.53916691228827,1761.8704825461898,2
511.32908518244614,162.25882950355762,67.34419051181119,188.46199064631017,1753.4708662209837,3
397.5622276191551,119.13684634265908,63.64062933217168,191.36681280854967,1497.7882647999209,1
368.3802090209065,116.85163790829827,63.854104063427435,199.14600989152467,1428.4105184539935,2
341.98492269219656,112.31884836568551,68.13409820143578,203.86222736513082,1420.3732717572877,3
437.0043324106729,118.27521602639362,47.480781581847225,178.99976656749377,1656.316871306875,1
373.21859923547805,123.29194749846549,71.95090120868852,206.09024647064408,1565.1388282835924,2
367.6264686757194,123.32070323740065,75.83091893406223,218.91599327097074,1592.119135958163,3
525.4484849924319,143.5529198622365,66.64020619800364,194.5138189609012,1812.4955238974403,1
503.48084056624873,130.99667190559165,65.04035105728119,185.44067180523834,1828.6109720587094,2
450.97807859942577,115.71274857889463,103.34789154837317,187.3839171476897,1830.5025333898307,3
421.67564025518084,107.86037812213556,50.95329421610968,200.28432959866942,1452.155416405016,1
362.9036720825553,123.35369048747948,85.25606342224053,222.95181733841122,1258.6124458084425,2
333.0807052379943,123.30147382495589,83.27286972431315,226.80412939650083,1191.2817913547162,3
564.2637319215074,158.41592947064603,83.18324402906482,170.69100692744163,1669.6807267829936,1
948.9414217899463,184.73787319401998,125.11706277359914,192.96775972793893,1653.8419034494866,2
514.9357670574493,180.54418914992792,126.88248495665667,191.80396706011297,1636.1078643674257,3
355.89866561552344,38.518247864590485,23.63688687697938,77.5500782562008,778.829070189435,1
271.4129494222565,36.546347887662236,24.181339343004716,63.960410705626586,596.6911142529698,2
350.0168693714392,51.060959215151364,34.31632909291722,62.11115950452175,507.56554985002094,3
372.9954717670604,135.4429723449605,81.02416579044335,145.7502500586331,1198.6189672950684,1
331.6092814269988,141.54704820847567,109.32166750080486,149.21221435105602,1105.5473772493765,2
314.85916901625484,127.50637834949116,97.19239422324453,139.7685474234291,1043.63401190468,3
480.73631804060767,145.90936142207667,57.58288225585816,153.2678648294943,1492.309787668372,1
457.7921820613779,169.26083702554646,94.04043967927385,148.29409274578842,1422.6452956460548,2
428.6250558938087,158.97226128954614,83.62016533919957,142.1740112296571,1385.4630254637655,3
662.0128066748239,158.68047817004785,65.39635844838406,163.6336645785258,1582.6373693791688,1
479.85615305103386,158.2398902771179,74.84892964167128,158.41604287884348,1582.9194443613633,2
489.55208243110275,158.06713078015972,79.60426504279387,159.48502909949275,1583.0719553286324,3
491.1813909275074,148.63333343104455,59.800965256564105,167.67442972333268,1652.522795486472,1
484.19610389414186,164.758726466428,99.46102445272207,165.42958364758047,1649.3809932416355,2
474.35985159693246,163.96579481494024,104.0975698924678,161.27259520863294,1658.8384412212104,3
473.0067776343409,139.32513960415028,52.264727088031684,153.47880324955503,1673.817259991667,1
431.607720753969,156.24736600733718,107.95841240629598,137.57990310650717,1551.9356462725943,2
400.3149396405632,144.62280020771215,86.5917303880904,120.04380842995417,1464.0599126372956,3
561.998696266092,173.84392568958788,82.47315500831449,181.54995571309036,1596.8252745707912,1
514.8497398604617,176.73905030271212,129.10567081017876,179.4759560793146,1604.6370038276582,2
539.7854899206517,169.44956021482216,111.02685284274723,165.13643093186784,1570.2352601213731,3
